Facility Name,CMS Certification Number (CCN),Alternate CCN,Address,City,State,Zip Code,Network,VAT Catheter Measure Score,VAT Catheter Achievement Measure Rate,VAT Fistula Measure Score Applied,Kt/V Comprehensive Achievement Measure Rate,ICH CAHPS Neph Comm and Caring Measure Score Applied,ICH CAHPS Quality of Dialysis Care and Ops Achievement Rate,ICH CAHPS Quality of Dialysis Care and Ops Improvement Rate,ICH CAHPS Quality of Dialysis Care and Ops Measure Score Applied,ICH CAHPS Providing Info to Patients Achievement Rate,ICH CAHPS Providing Info to Patients Improvement Rate,ICH CAHPS Providing Info to Patients Measure Score Applied,ICH CAHPS Overall Rating of Neph Achievement Rate,ICH CAHPS Overall Rating of Neph Improvement Rate,ICH CAHPS Overall Rating of Neph Measure Score Applied,ICH CAHPS Overall Rating of Dialysis Staff Achievement Rate,ICH CAHPS Overall Rating of Dialysis Staff Improvement Rate,ICH CAHPS Overall Rating of Dialysis Staff Measure Score Applied,ICH CAHPS Overall Rating of Dialysis Facility Achievement Rate,ICH CAHPS Overall Rating of Dialysis Facility Improvement Rate,ICH CAHPS Overall Rating of Dialysis Facility Measure Score Applied,Serum Phosphorus Measure Score,Serum Phosphorus Reason for No Score (See Footnotes File),National Average Serum Phosphorus Measure Score,Anemia Management Measure Score,Anemia Management Reason for No Score (See Footnotes File),National Average Anemia Management Measure Score,Standardized Readmission Ratio (SRR) Measure Score,SRR Reason for No Score (See Footnotes File),SRR Achievement Measure Ratio,Number of Index Discharges in SRR Achievement Period,SRR Achievement Period Numerator,SRR Achievement Period Denominator,SRR Improvement Measure Ratio,SRR Improvement Period Numerator,SRR Improvement Period Denominator,SRR Measure Score Applied,National Average SRR Measure Score,National Average SHR Measure Score,Total Performance Score,PY2020 Payment Reduction Percentage,CMS Certification Date,"Ownership as of December 31, 2018",Date of Ownership Record Update
ORLANDO HOME TRAINING DIALYSIS,102772,-,116 STURTEVANT ST STE 2 ,ORLANDO,FL,32806,7,No Score,No Rate,N/A,94.25%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,5,-,9,10,-,10,0,-,2.003,65,31,15.48,0.82,12,14.642,Achievement,5,5,28,2.00%,30-08-2000,DAVITA,17-07-2009
ST PETERSBURG DIALYSIS,102773,-,1117 ARLINGTON AVE N ,SAINT PETERSBURG,FL,33705,7,9,4.03%,Achievement,97.54%,N/A,No Rate,57.24%,N/A,No Rate,66.28%,N/A,No Rate,55.17%,N/A,No Rate,72.67%,N/A,No Rate,69.38%,N/A,7,-,9,10,-,10,1,-,1.225,88,30,24.497,0.946,15,15.862,Achievement,5,5,58,0.50%,08-09-2000,DAVITA,06-10-2005
ARA - BOCA RATON DIALYSIS LLC,102774,-,1905 CLINT MOORE RD STE 211 ,BOCA RATON,FL,33496,7,5,10.82%,Achievement,98.35%,Achievement,64.19%,59.83%,Achievement,68.48%,69.63%,Achievement,64.38%,61.10%,Achievement,63.32%,59.30%,Achievement,71.16%,75.59%,Achievement,10,-,9,10,-,10,5,-,0.949,138,34,35.843,0.828,30,36.235,Achievement,5,5,64,No Reduction,22-09-2000,AMERICAN RENAL ASSOCIATES,02-12-2004
ORANGE CITY DIALYSIS,102775,-,2575 S VOLUSIA AVE #400 ,ORANGE CITY,FL,32763,7,4,12.50%,Achievement,96.05%,Achievement,50.60%,53.46%,Achievement,76.73%,78.86%,Achievement,53.20%,44.95%,Achievement,58.56%,47.90%,Achievement,62.83%,49.72%,Achievement,6,-,9,9,-,10,0,-,1.41,128,53,37.58,1.138,40,35.163,Achievement,5,5,42,1.00%,30-11-2000,DAVITA,06-10-2005
MIAMI NORTH DIALYSIS,102776,-,860 NE 125TH ST ,NORTH MIAMI,FL,33161,7,8,5.17%,Achievement,98.95%,Achievement,73.03%,68.17%,Achievement,89.19%,83.98%,Achievement,55.41%,44.39%,Achievement,77.81%,59.86%,Achievement,77.11%,73.24%,Achievement,10,-,9,10,-,10,0,-,1.274,93,29,22.767,0.933,27,28.925,Achievement,5,5,66,No Reduction,23-10-2000,DAVITA,06-10-2005
"PURE LIFE RENAL OF WEST PALM BEACH, LLC",102777,-,1522 N DIXIE HWY ,WEST PALM BEACH,FL,33401,7,2,15.49%,Achievement,93.48%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,9,-,9,10,-,10,0,-,1.4,76,27,19.286,1.224,17,13.885,Achievement,5,5,27,2.00%,20-03-2001,OTHER,02-11-2005
FMC DIALYSIS SERVICES - WINTER PARK,102778,-,6848 ALOMA AVE ,WINTER PARK,FL,32792,7,9,4.36%,Achievement,99.32%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,8,-,0.77,86,16,20.769,1.035,11,10.63,Achievement,5,5,69,No Reduction,02-03-2001,FRESENIUS MEDICAL CARE,02-02-2005
BRANDON EAST DIALYSIS,102779,-,114 E BRANDON BLVD ,BRANDON,FL,33511,7,6,8.06%,Achievement,98.85%,Achievement,50.58%,59.37%,Achievement,74.33%,80.46%,Achievement,37.33%,54.52%,Achievement,37.98%,47.27%,Achievement,48.79%,58.67%,Achievement,10,-,9,10,-,10,3,-,1.129,168,49,43.411,1.151,68,59.087,Achievement,5,5,51,0.50%,04-04-2001,DAVITA,06-10-2005
UNIVERSAL KIDNEY CENTER OF BOYNTON BEACH,102782,-,4895 WINDWARD PASSAGE DR STE 5 ,BOYNTON BEACH,FL,33436,7,4,11.20%,Achievement,81.02%,Achievement,No Rate,No Rate,Achievement,No Rate,No Rate,Achievement,No Rate,No Rate,Achievement,No Rate,No Rate,Achievement,No Rate,No Rate,Achievement,5,-,9,10,-,10,2,-,1.433,50,15,10.464,1.689,19,11.25,Improvement,5,5,14,2.00%,15-05-2001,NOT A CHAIN,02-08-2008
MIAMI EAST DIALYSIS,102784,-,1250 NW 7TH ST STE 106 ,MIAMI,FL,33125,7,6,8.66%,Achievement,98.88%,Achievement,70.91%,68.58%,Achievement,83.19%,85.35%,Achievement,54.52%,59.77%,Achievement,69.95%,63.92%,Achievement,72.24%,71.37%,Achievement,10,-,9,10,-,10,2,-,1.175,40,12,9.989,1.123,15,13.359,Achievement,5,5,69,No Reduction,13-06-2001,DAVITA,06-10-2005
CENTRAL FLORIDA KIDNEY CENTER - WINTER GARDEN,102786,-,741 S DILLARD ST ,WINTER GARDEN,FL,34787,7,No Score,No Rate,N/A,96.11%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Score,1,9,10,-,10,8,-,0.809,28,4,4.029,1.684,12,7.127,Improvement,5,5,67,No Reduction,21-11-2001,CENTRAL FLORIDA KIDNEY CENTERS,15-02-2016
RENAL CARE GROUP - CLERMONT,102787,-,312 MOWHAWK RD ,CLERMONT,FL,34715,7,2,14.65%,Achievement,97.61%,Achievement,73.20%,79.29%,Achievement,87.53%,92.67%,Achievement,59.27%,79.30%,Achievement,75.76%,90.28%,Achievement,72.55%,82.34%,Achievement,10,-,9,10,-,10,0,-,1.515,140,52,34.322,1.464,22,15.024,Achievement,5,5,52,0.50%,03-01-2002,FRESENIUS MEDICAL CARE,02-11-2005
FORT MYERS NORTH DIALYSIS,102788,-,16101 NORTH CLEVELAND AVE ,FORT MYERS,FL,33903,7,10,2.89%,Achievement,99.69%,Achievement,58.31%,61.53%,Achievement,82.74%,80.58%,Achievement,62.90%,58.51%,Achievement,77.73%,71.16%,Achievement,77.36%,77.95%,Achievement,10,-,9,10,-,10,4,-,1.054,75,21,19.922,0.471,4,8.501,Achievement,5,5,81,No Reduction,28-12-2001,DAVITA,05-11-2005
KIDNEY TREATMENT CENTER OF SOUTH FLORIDA,102789,-,13500 N KENDALL DR #131 ,MIAMI,FL,33186,7,5,10.25%,Achievement,98.37%,Achievement,82.48%,73.91%,Achievement,88.65%,88.63%,Achievement,93.78%,88.93%,Achievement,90.05%,76.04%,Achievement,96.30%,85.84%,Achievement,9,-,9,10,-,10,0,-,1.362,112,38,27.906,1.345,35,26.015,Achievement,5,5,64,No Reduction,02-01-2002,NOT A CHAIN,16-02-2006
PERRY DIALYSIS,102790,-,118 WEST MAIN ,PERRY,FL,32347,7,7,7.34%,Achievement,99.02%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,4,-,1.004,20,6,4.276,0.934,3,3.211,Achievement,5,5,74,No Reduction,22-02-2002,DAVITA,29-09-2007
FMC - VENICE,102791,-,1120 INDIAN HILLS BLVD ,VENICE,FL,34293,7,6,9.11%,Achievement,98.41%,Achievement,70.00%,56.59%,Achievement,82.01%,84.76%,Achievement,55.93%,69.66%,Achievement,61.64%,57.70%,Achievement,67.54%,79.82%,Achievement,10,-,9,10,-,10,4,-,1.004,121,31,30.878,0.847,11,12.979,Achievement,5,5,57,0.50%,13-03-2002,FRESENIUS MEDICAL CARE,01-01-2013
FMC - BOYNTON BEACH GULF STREAM,102792,-,3925 W BOYNTON BEACH BLVD #110 ,BOYNTON BEACH,FL,33436,7,7,6.67%,Achievement,95.76%,Improvement,61.70%,59.03%,Achievement,82.46%,77.20%,Achievement,45.54%,47.58%,Achievement,65.70%,49.08%,Achievement,72.39%,57.74%,Achievement,10,-,9,10,-,10,3,-,1.097,104,25,22.786,1.064,20,18.795,Achievement,5,5,52,0.50%,26-06-2002,FRESENIUS MEDICAL CARE,23-07-2015
OCALA REGIONAL KIDNEY CENTER NORTH,102793,-,2620 WEST HWY 316 ,CITRA,FL,32113,7,6,8.44%,Achievement,96.20%,Achievement,60.82%,No Rate,Achievement,88.06%,No Rate,Achievement,60.42%,No Rate,Achievement,62.79%,No Rate,Achievement,70.95%,No Rate,Achievement,10,-,9,10,-,10,1,-,1.319,95,29,21.987,1.431,33,23.055,Improvement,5,5,55,0.50%,29-07-2002,DAVITA,01-10-2002
ARA - WEST JACKSONVILLE LLC,102794,-,425 N LEE STREET SUITE 103 ,JACKSONVILLE,FL,32204,7,5,10.70%,Achievement,99.08%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,3,-,1.08,91,24,22.215,0.981,26,26.507,Achievement,5,5,68,No Reduction,30-10-2002,AMERICAN RENAL ASSOCIATES,14-11-2007
FMC DIALYSIS SERVICES - NORTH BOYNTON BEACH,102795,-,4965 LECHALET BLVD ,BOYNTON BEACH,FL,33436,7,9,4.19%,Achievement,98.62%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,5,-,1.056,13,9,8.185,1.637,4,2.444,Improvement,5,5,79,No Reduction,16-12-2002,FRESENIUS MEDICAL CARE,28-10-2005
"FMC-MIAMI SHORES, LLC",102800,-,9999 NE 2ND AVE SUITE 119,MIAMI SHORES,FL,33138,7,6,8.76%,Achievement,98.28%,Achievement,65.89%,57.05%,Achievement,79.79%,72.16%,Achievement,57.79%,62.52%,Achievement,61.70%,55.75%,Achievement,63.76%,54.42%,Achievement,10,-,9,10,-,10,2,-,1.207,83,41,33.964,1.381,29,20.995,Improvement,5,5,59,No Reduction,22-10-2003,FRESENIUS MEDICAL CARE,03-03-2016
UNIVERSAL KIDNEY CENTER OF DAVIE,102801,-,11570 W STATE ROAD 84 ,DAVIE,FL,33325,7,8,5.18%,Achievement,100.00%,Achievement,No Rate,No Rate,Achievement,No Rate,No Rate,Achievement,No Rate,No Rate,Achievement,No Rate,No Rate,Achievement,No Rate,No Rate,Achievement,9,-,9,10,-,10,6,-,0.849,33,7,7.726,0.884,8,9.045,Achievement,5,5,57,0.50%,16-12-2003,NOT A CHAIN,17-05-2005
FMC - ROYAL PALM BEACH,102802,-,6901  OKEECHOBEE BLVD #D19 ,WEST PALM BEACH,FL,33411,7,4,12.36%,Achievement,97.77%,N/A,No Rate,57.17%,N/A,No Rate,80.02%,N/A,No Rate,59.81%,N/A,No Rate,57.66%,N/A,No Rate,69.88%,N/A,10,-,9,10,-,10,1,-,1.237,90,27,21.83,1.01,16,15.844,Achievement,5,5,57,0.50%,31-03-2004,FRESENIUS MEDICAL CARE,27-07-2015
ST PETERSBURG SOUTH DIALYSIS,102803,-,2850 34TH STREET S ,SAINT PETERSBURG,FL,33711,7,8,5.45%,Achievement,95.51%,Achievement,71.15%,No Rate,Achievement,78.08%,No Rate,Achievement,66.12%,No Rate,Achievement,77.33%,No Rate,Achievement,72.32%,No Rate,Achievement,8,-,9,10,-,10,0,-,1.301,142,54,41.508,1.184,45,37.999,Achievement,5,5,49,0.50%,09-04-2004,DAVITA,02-10-2007
RENAL CARE GROUP - DESTIN,102804,-,7720 US HWY 98 W SUITE 150,MIRAMAR BEACH,FL,32550,7,6,7.84%,Achievement,99.32%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,9,-,9,10,-,10,4,-,0.997,34,12,11.109,0.495,2,4.041,Achievement,5,5,72,No Reduction,25-03-2004,FRESENIUS MEDICAL CARE,25-03-2004
EAST FT LAUDERDALE DIALYSIS CENTER LLC,102805,-,1301 S ANDREWS AVE SUITE 101,FORT LAUDERDALE,FL,33315,7,6,9.03%,Achievement,93.90%,Achievement,70.65%,68.44%,Achievement,86.82%,84.71%,Achievement,77.86%,72.89%,Achievement,80.03%,65.45%,Achievement,77.23%,70.42%,Achievement,10,-,9,10,-,10,1,-,1.243,152,45,36.192,1.059,39,36.811,Achievement,5,5,48,1.00%,07-04-2004,DAVITA,08-04-2004
RENAL CARE GROUP - BREVARD,102806,-,1355 PALM BAY RD ,PALM BAY,FL,32905,7,0,20.45%,Achievement,95.48%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,9,-,9,9,-,10,6,-,0.901,129,30,33.295,1.169,21,17.96,Achievement,5,5,57,0.50%,23-04-2004,FRESENIUS MEDICAL CARE,02-11-2005
WESTON DIALYSIS CENTER,102807,-,"2685 EXECUTIVE PARK DRIVE, SUITE #1 ",WESTON,FL,33331,7,0,19.80%,Achievement,98.15%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,9,-,9,10,-,10,1,-,1.24,49,12,9.675,1.067,13,12.188,Achievement,5,5,46,1.00%,21-07-2004,DAVITA,19-05-2015
DAVIE CITY DIALYSIS,102808,-,7950 SW 30TH STREET ,DAVIE,FL,33328,7,1,16.70%,Achievement,98.33%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,5,-,1.117,61,14,12.538,1.627,27,16.598,Improvement,5,5,50,0.50%,17-08-2004,DAVITA,18-08-2004
NRI - NAPLES,102809,-,6625 HILLWAY CIRCLE ,NAPLES,FL,34112,7,6,9.19%,Achievement,97.75%,Achievement,65.69%,65.70%,Achievement,88.80%,81.74%,Achievement,76.04%,61.77%,Achievement,82.63%,72.01%,Achievement,85.23%,78.10%,Achievement,10,-,9,10,-,10,6,-,0.874,76,16,18.311,0.979,23,23.49,Achievement,5,5,71,No Reduction,10-08-2004,DAVITA,18-10-2018
FMC - ATLANTIS,102810,-,5503 SOUTH CONGRESS AVE SUITE 101,ATLANTIS,FL,33462,7,4,10.95%,Achievement,97.71%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,0,-,1.449,78,27,18.631,1.329,15,11.285,Achievement,5,5,57,0.50%,25-09-2004,FRESENIUS MEDICAL CARE,02-02-2008
CYPRESS CREEK DIALYSIS CENTER,102811,-,952 CYPRESS VILLAGE BLVD ,SUN CITY,FL,33573,7,0,23.81%,Achievement,100.00%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,8,-,9,10,-,10,7,-,0.816,52,12,14.701,0.995,12,12.06,Achievement,5,5,69,No Reduction,24-09-2004,AMERICAN RENAL ASSOCIATES,13-09-2011
FMC - WEST PENSACOLA,102812,-,2940 N. BLUE ANGEL PARKWAY ,PENSACOLA,FL,32506,7,8,4.85%,Achievement,98.84%,Achievement,65.68%,62.16%,Achievement,82.77%,84.07%,Achievement,62.01%,63.87%,Achievement,66.56%,68.92%,Achievement,78.66%,77.97%,Achievement,10,-,9,10,-,10,5,-,0.962,127,29,30.153,0.959,26,27.108,Achievement,5,5,75,No Reduction,30-09-2004,FRESENIUS MEDICAL CARE,08-01-2014
COASTAL KIDNEY CENTER,102813,-,510 N MCARTHUR AVE ,PANAMA CITY,FL,32401,7,8,5.50%,Achievement,97.05%,Achievement,58.32%,55.45%,Achievement,83.68%,79.44%,Achievement,60.80%,60.08%,Achievement,61.11%,50.87%,Achievement,68.57%,55.51%,Achievement,9,-,9,10,-,10,1,-,1.243,123,42,33.779,0.605,17,28.093,Achievement,5,5,58,0.50%,13-12-2004,DAVITA,30-12-2015
RENAL CARE GROUP - NAVARRE,102814,-,8888 NAVARRE PKWY ,NAVARRE,FL,32566,7,10,0.00%,Achievement,96.52%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,8,-,9,10,-,10,5,-,0.992,14,9,7.318,1.446,5,3.458,Improvement,5,5,71,No Reduction,16-03-2005,FRESENIUS MEDICAL CARE,02-01-2005
FRESENIUS KIDNEY CARE SOUTH TAMPA,102815,-,3614 W KENNEDY BLVD SUITE A ,TAMPA,FL,33609,7,No Score,No Rate,N/A,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Score,1,9,No Score,1,10,No Score,13,No Ratio,<11,,,1.49,,,N/A,5,5,No Score,No Reduction,16-03-2005,FRESENIUS MEDICAL CARE,01-04-2017
MELBOURNE DIALYSIS,102816,-,2235 SOUTH BABCOCK ST ,MELBOURNE,FL,32901,7,1,18.53%,Improvement,93.36%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,1,-,1.205,78,26,21.578,1.167,42,35.986,Achievement,5,5,41,1.00%,23-03-2005,DAVITA,06-10-2005
EMBASSY LAKES ARTIFICIAL KIDNEY CENTER,102817,-,11011 SHERIDAN ST SUITE 308,COOPER CITY,FL,33026,7,3,13.09%,Achievement,94.41%,Achievement,68.38%,73.97%,Achievement,79.35%,82.64%,Achievement,61.29%,83.21%,Achievement,75.76%,68.97%,Achievement,78.23%,76.03%,Achievement,8,-,9,10,-,10,0,-,1.495,106,36,24.077,1.345,44,32.71,Achievement,5,5,48,1.00%,21-03-2005,DAVITA,02-07-2005
HIGHLANDS DIALYSIS CENTER,102818,-,4245 SUN N LAKE BLVD ,SEBRING,FL,33872,7,0,18.67%,Achievement,98.99%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,1,-,1.261,98,34,26.954,0.476,8,16.81,Achievement,5,5,46,1.00%,01-04-2005,AMERICAN RENAL ASSOCIATES,03-12-2010
DAVENPORT DIALYSIS CENTER,102819,-,45597 US HWY 27 ,DAVENPORT,FL,33897,7,7,7.37%,Achievement,95.99%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,3,-,1.113,48,13,11.678,0.972,8,8.229,Achievement,5,5,56,0.50%,04-04-2005,DAVITA,02-01-2005
"BMA OF FLORIDA, INCORPORATED",102820,-,5730 BOWDEN ROAD SUITE 110 ,JACKSONVILLE,FL,32216,7,0,23.01%,Achievement,97.14%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,8,-,9,10,-,10,1,-,1.27,122,43,33.858,0.881,17,19.288,Achievement,5,5,44,1.00%,18-04-2005,FRESENIUS MEDICAL CARE,23-01-2018
US RENAL CARE UPTOWN DIALYSIS,102821,-,2700 IMOKALEE ROAD SUITE 22,NAPLES,FL,34110,7,0,28.66%,Achievement,94.13%,Achievement,No Rate,No Rate,Achievement,No Rate,No Rate,Achievement,No Rate,No Rate,Achievement,No Rate,No Rate,Achievement,No Rate,No Rate,Achievement,4,-,9,10,-,10,2,-,1.15,62,19,16.528,No Ratio,N/A,N/A,Achievement,5,5,34,1.50%,19-07-2005,"US RENAL CARE, INC.",13-09-2017
LAKE GRIFFIN EAST DIALYSIS,102822,-,401 E NORTH AVE ,LEESBURG,FL,34748,7,9,4.03%,Achievement,98.63%,N/A,No Rate,56.90%,N/A,No Rate,84.38%,N/A,No Rate,47.12%,N/A,No Rate,48.93%,N/A,No Rate,46.74%,N/A,9,-,9,10,-,10,2,-,1.179,66,17,14.414,0.975,20,20.521,Achievement,5,5,64,No Reduction,19-07-2005,DAVITA,02-07-2007
WINTER PARK HOME PD DIALYSIS,102823,-,4100 METRIC DRIVE #200 ,WINTER PARK,FL,32792,7,No Score,No Rate,N/A,96.76%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,7,-,9,10,-,10,2,-,1.193,52,13,10.894,1.044,8,7.663,Achievement,5,5,45,1.00%,29-08-2005,DAVITA,29-01-2008
DSI SOUTH TAMPA LLC,102824,-,731 WEST LUMSDEN ,BRANDON,FL,33511,7,1,16.88%,Achievement,97.34%,Achievement,64.98%,57.83%,Achievement,75.03%,75.56%,Achievement,69.81%,59.42%,Achievement,62.24%,51.24%,Achievement,72.02%,65.35%,Achievement,10,-,9,10,-,10,5,-,0.984,133,32,32.505,1.269,22,17.336,Achievement,5,5,66,No Reduction,05-10-2005,NATIONAL RENAL INSTITUTES,12-04-2013
OCALA REGIONAL KIDNEY CENTERS HOME DIALYSIS,102825,-,2860 SE 1ST AVE ,OCALA,FL,34471,7,9,4.07%,Achievement,98.12%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,9,-,9,10,-,10,6,-,0.898,95,21,23.375,1.163,30,25.784,Achievement,5,5,75,No Reduction,12-07-2005,DAVITA,22-06-2018
DIALYSIS CARE CENTER OF DAYTONA,102826,-,720 CLYDE MORRIS BLVD ,DAYTONA BEACH,FL,32114,7,2,15.05%,Achievement,99.62%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,4,-,1.004,67,17,16.932,0.777,10,12.87,Achievement,5,5,54,0.50%,04-11-2005,FRESENIUS MEDICAL CARE,02-05-2005
SANFORD DIALYSIS,102827,-,1701 W 1ST ST ,SANFORD,FL,32771,7,6,8.06%,Improvement,99.19%,Achievement,63.00%,63.16%,Achievement,81.88%,76.36%,Achievement,56.84%,58.71%,Achievement,69.47%,63.18%,Achievement,71.36%,68.85%,Achievement,10,-,9,10,-,10,0,-,1.307,119,44,33.663,1.27,49,38.597,Achievement,5,5,57,0.50%,30-11-2005,DAVITA,02-09-2005
RENAL CARE PARTNERS HOME PROGRAM,102828,-,4970 SW 52ND ST #304 ,DAVIE,FL,33314,7,No Score,No Rate,N/A,No Rate,Achievement,No Rate,No Rate,Achievement,No Rate,No Rate,Achievement,No Rate,No Rate,Achievement,No Rate,No Rate,Achievement,No Rate,No Rate,Achievement,No Score,1,9,No Score,1,10,No Score,13,No Ratio,<11,,,No Ratio,,,N/A,5,5,0,2.00%,28-11-2005,RENAL CARE PARTNERS,02-09-2006
APOPKA DIALYSIS,102829,-,640 EXECUTIVE PARK COURT ,APOPKA,FL,32703,7,8,5.54%,Achievement,97.02%,Achievement,63.16%,58.71%,Achievement,80.28%,76.01%,Achievement,62.59%,75.89%,Achievement,57.47%,48.33%,Achievement,70.33%,55.34%,Achievement,10,-,9,10,-,10,0,-,1.442,171,61,42.3,1.321,59,44.647,Achievement,5,5,53,0.50%,08-03-2006,DAVITA,02-01-2005
MIDDLEBURG DIALYSIS LLC,102830,-,2070 PALMETTO ST SUITE 9,MIDDLEBURG,FL,32068,7,0,17.99%,Achievement,99.67%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,9,-,9,10,-,10,4,-,1.037,58,16,15.433,0.333,4,12.006,Achievement,5,5,60,No Reduction,20-03-2006,AMERICAN RENAL ASSOCIATES,18-05-2007
HILLIARD DIALYSIS CENTER LLC,102831,-,551858 US HWY 1 #118 ,HILLIARD,FL,32046,7,10,1.77%,Achievement,99.72%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,2,-,1.149,45,13,11.314,0.339,2,5.904,Achievement,5,5,66,No Reduction,27-03-2006,AMERICAN RENAL ASSOCIATES,02-01-2006
ST CLOUD DIALYSIS,102832,-,4750 OLD CANOE CREEK RD ,SAINT CLOUD,FL,34769,7,6,7.86%,Achievement,94.35%,Achievement,62.11%,48.15%,Achievement,82.71%,67.93%,Achievement,47.45%,38.36%,Improvement,49.23%,47.08%,Achievement,54.26%,45.04%,Improvement,7,-,9,10,-,10,0,-,1.459,245,99,67.874,1.368,102,74.578,Achievement,5,5,40,1.00%,26-05-2006,DAVITA,02-11-2007
FMC - BELLEAIR HOME THERAPIES,102833,-,617 LAKEVIEW RD SUITE C ,CLEARWATER,FL,33756,7,No Score,No Rate,N/A,94.93%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,8,-,9,9,-,10,2,-,1.155,33,9,6.948,1.355,14,10.332,Achievement,5,5,46,1.00%,05-06-2006,FRESENIUS MEDICAL CARE,12-12-2015
HIALEAH ARTIFICIAL KIDNEY CENTER,102834,-,8524 NW 103RD ST ,HIALEAH,FL,33016,7,8,5.53%,Achievement,97.15%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,0,-,1.401,91,30,21.417,0.831,11,13.243,Achievement,5,5,47,1.00%,26-06-2006,DAVITA,01-12-2013
FKC - BELLEAIR DIALYSIS CENTER,102835,-,617 LAKEVIEW ROAD SUITE B ,CLEARWATER,FL,33756,7,7,7.19%,Achievement,99.02%,Achievement,72.84%,61.92%,Achievement,81.99%,77.31%,Achievement,73.86%,82.06%,Achievement,83.58%,64.28%,Achievement,77.47%,80.56%,Achievement,10,-,9,10,-,10,7,-,0.785,112,24,30.554,1.049,16,15.257,Achievement,5,5,74,No Reduction,16-08-2006,FRESENIUS MEDICAL CARE,21-10-2016
